Date,Open,High,Low,Close
2018-03-27,1063.0,1064.84,996.92,1005.1
2018-03-26,1046.0,1055.63,1008.4,1053.21
2018-03-23,1047.03,1063.36,1021.22,1021.57
2018-03-22,1081.88,1082.9,1045.91,1049.08
2018-03-21,1092.74,1106.3,1085.15,1090.88
2018-03-20,1099.0,1105.2,1083.46,1097.71
2018-03-19,1120.01,1121.99,1089.01,1099.82
2018-03-16,1154.14,1155.88,1131.96,1135.73
2018-03-15,1149.96,1161.08,1134.54,1149.58
2018-03-14,1145.21,1158.59,1141.44,1149.49
2018-03-13,1170.0,1176.76,1133.33,1138.17
2018-03-12,1163.85,1177.05,1157.42,1164.5
2018-03-09,1136.0,1160.8,1132.46,1160.04
2018-03-08,1115.32,1127.6,1112.8,1126.0
2018-03-07,1089.19,1112.22,1085.48,1109.64
2018-03-06,1099.22,1101.85,1089.78,1095.06
2018-03-05,1075.14,1097.1,1069.0,1090.93
2018-03-02,1053.08,1082.0,1048.12,1078.92
2018-03-01,1107.87,1110.12,1067.0,1069.52
2018-02-28,1123.03,1127.53,1103.24,1104.73
2018-02-27,1141.24,1144.04,1118.0,1118.29
2018-02-26,1127.8,1143.96,1126.69,1143.75
2018-02-23,1112.64,1127.28,1104.71,1126.79
2018-02-22,1116.19,1122.82,1102.59,1106.63
2018-02-21,1106.47,1133.97,1106.33,1111.34
2018-02-20,1090.57,1113.95,1088.52,1102.46
2018-02-16,1088.41,1104.67,1088.31,1094.8
2018-02-15,1079.07,1091.48,1064.34,1089.52
2018-02-14,1048.95,1071.72,1046.75,1069.7
2018-02-13,1045.0,1058.37,1044.09,1052.1
2018-02-12,1048.0,1061.5,1040.93,1051.94
2018-02-09,1017.25,1043.97,992.56,1035.88
2018-02-08,1055.41,1058.62,1001.0,1001.0
2018-02-07,1081.54,1081.78,1048.26,1048.58
2018-02-06,1027.18,1081.71,1023.14,1080.6
2018-02-05,1090.6,1110.0,1052.03,1064.35
2018-02-02,1122.0,1123.07,1107.28,1111.9
2018-02-01,1162.61,1174.0,1157.52,1167.7
2018-01-31,1170.57,1173.0,1159.13,1169.94
2018-01-30,1167.83,1176.52,1163.52,1163.69
2018-01-29,1176.48,1186.89,1171.98,1175.58
2018-01-26,1175.08,1175.84,1158.11,1175.84
2018-01-25,1172.53,1175.94,1162.76,1170.37
2018-01-24,1177.33,1179.86,1161.05,1164.24
2018-01-23,1159.85,1171.63,1158.75,1169.97
2018-01-22,1137.49,1159.88,1135.11,1155.81
2018-01-19,1131.83,1137.86,1128.3,1137.51
2018-01-18,1131.41,1132.51,1117.5,1129.79
2018-01-17,1126.22,1132.6,1117.01,1131.98
2018-01-16,1132.51,1139.91,1117.83,1121.76
2018-01-12,1102.41,1124.29,1101.15,1122.26
2018-01-11,1106.3,1106.53,1099.59,1105.52
2018-01-10,1097.1,1104.6,1096.11,1102.61
2018-01-09,1109.4,1110.57,1101.23,1106.26
2018-01-08,1102.23,1111.27,1101.62,1106.94
2018-01-05,1094.0,1104.25,1092.0,1102.23
2018-01-04,1088.0,1093.57,1084.0,1086.4
2018-01-03,1064.31,1086.29,1063.21,1082.48
2018-01-02,1048.34,1066.94,1045.23,1065.0
2017-12-29,1046.72,1049.7,1044.9,1046.4
2017-12-28,1051.6,1054.75,1044.77,1048.14
2017-12-27,1057.39,1058.37,1048.05,1049.37
2017-12-26,1058.07,1060.12,1050.2,1056.74
2017-12-22,1061.11,1064.2,1059.44,1060.12
2017-12-21,1064.95,1069.33,1061.79,1063.63
2017-12-20,1071.78,1073.38,1061.52,1064.95
2017-12-19,1075.2,1076.84,1063.55,1070.68
2017-12-18,1066.08,1078.49,1062.0,1077.14
2017-12-15,1054.61,1067.62,1049.5,1064.19
2017-12-14,1045.0,1058.5,1043.11,1049.15
2017-12-13,1046.12,1046.66,1038.38,1040.61
2017-12-12,1039.63,1050.31,1033.69,1040.48
2017-12-11,1035.5,1043.8,1032.05,1041.1
2017-12-08,1037.49,1042.05,1032.52,1037.05
2017-12-07,1020.43,1034.24,1018.07,1030.93
2017-12-06,1001.5,1024.97,1001.14,1018.38
2017-12-05,995.94,1020.61,988.28,1005.15
